step,train_loss,val_loss,val_ppl,val_top1,gate_mean
100,6.061964511871338,6.229894779815043,507.702060180562,0.17317614562776878,nan
200,5.956820964813232,5.960056187682767,387.63190376434613,0.19052540349105102,nan
300,5.838053226470947,5.714968239547189,303.37456784274883,0.20388417616745075,nan
400,5.246766567230225,5.485099435394083,241.07291398648007,0.21377621483774625,nan
500,5.076208591461182,5.320005565830535,204.3850195621851,0.22159818931734646,nan
600,5.246158123016357,5.194777998694714,180.3281052782319,0.2298846812132322,nan
700,5.029239654541016,5.096899847370762,163.5142017417213,0.23607305081945237,nan
800,5.166179180145264,5.011457382840875,150.1233640128283,0.24176572734386448,nan
900,4.826682090759277,4.934760989446453,139.0399065553311,0.24861346227588593,nan
1000,4.414186477661133,4.875531621209624,131.0438003598885,0.2531869324080396,nan
1100,4.974033832550049,4.812109004180072,122.99073215251755,0.25758737759654327,nan
1200,4.564933776855469,4.765403327013441,117.3784496414949,0.2620719970819577,nan
1300,4.591171741485596,4.712847770637901,111.36886171898428,0.26593310325692177,nan
1400,4.478810787200928,4.670922763043704,106.79624460610742,0.26967418311962416,nan
1500,4.594832897186279,4.64000951807682,103.54533313102584,0.2708245651774051,nan
1600,4.214259147644043,4.5873284035350865,98.23164397613596,0.2751735705177966,nan
1700,4.629359245300293,4.548461488213261,94.48692718024064,0.2788834747149765,nan
1800,4.159094333648682,4.514818557991998,91.36098779736156,0.28090833419066413,nan
1900,4.039751052856445,4.488343997115861,88.97398264071825,0.2831077773932779,nan
2000,4.591506481170654,4.456112846556492,86.1519714431937,0.28636875200693346,nan
2100,4.2886786460876465,4.42487665335758,83.50250683294355,0.2891355923220571,nan
2200,4.36624002456665,4.403452602052567,81.73257212644256,0.29049329255556283,nan
2300,4.1689910888671875,4.374264957572842,79.38146935469767,0.2935625368262549,nan
2400,4.439457416534424,4.355931279358709,77.93937488069535,0.29396937926132377,nan
2500,4.131959438323975,4.332715561947216,76.15079825463424,0.296631781096947,nan
