step,train_loss,val_loss,val_ppl,val_top1,gate_mean
100,6.069031715393066,6.237503837286018,511.5799290883262,0.172696040378722,0.796260993361473
200,5.967560291290283,5.962218116573802,388.4708429128104,0.18865486355969985,0.8395669682025909
300,5.856638431549072,5.724255978737611,306.20535717325845,0.20259973874792292,0.8666230722665786
400,5.257741451263428,5.4978468605763835,244.16564320840195,0.21283003338913778,0.8905851532220841
500,5.082870960235596,5.326060123634895,205.62623418865397,0.22055224573906593,0.9033380790948867
600,5.252259254455566,5.199968576512292,181.26654575858325,0.22953395497610385,0.915227167725563
700,5.02302360534668,5.101375969660622,164.24775180998824,0.23660147835005907,0.919900172829628
800,5.174136638641357,5.0166309967123315,150.90205692264277,0.24163946589849827,0.9210123586654663
900,4.8198018074035645,4.9363069584280295,139.25502417780825,0.24836873330153417,0.9235059280395508
1000,4.412188529968262,4.879259573194422,131.53323708701086,0.25250262654982025,0.9260526002645493
1100,4.9728102684021,4.812189561612662,123.00064036921705,0.257336413489087,0.9267025974988937
1200,4.572144031524658,4.759045120053591,116.63450076280442,0.2626160124453257,0.928244475364685
1300,4.581898212432861,4.714522235726806,111.55550120696836,0.26630877002646813,0.9239836879968644
1400,4.471317291259766,4.6700990861292055,106.7083152225432,0.2696024790889224,0.9298107846975326
1500,4.580395221710205,4.634870922028102,103.01462021876908,0.2713140231261087,0.925302838563919
1600,4.205709934234619,4.582138410261236,97.7231431040891,0.27606519455174067,0.9307796946763992
1700,4.6330461502075195,4.545579447116134,94.21500400806453,0.279150026655194,0.9285177837610245
1800,4.172793388366699,4.509660553264793,90.89096063367617,0.28164252111371946,0.9293037312030792
1900,4.035938262939453,4.48903168541201,89.03519005063953,0.2826837883421716,0.9255384286642074
2000,4.598536968231201,4.453615075981917,85.9370521053179,0.28709514501360817,0.927202078461647
2100,4.289294242858887,4.423550655487852,83.3918560643207,0.2893210875319161,0.9251622203588485
2200,4.3670549392700195,4.402271166109207,81.63606734632218,0.2904543229736597,0.9253544609546661
2300,4.1602983474731445,4.3714519078581775,79.15847912333125,0.29427178321689224,0.9293293398618698
2400,4.442169666290283,4.350383353519577,77.50817026055664,0.2955780436022858,0.928323824763298
2500,4.11001443862915,4.326056598105533,75.64539743297024,0.2973597328868978,0.9280291073322297
